country,iso3,rank,rank_pred,residual,population_latest,diaspora_2024,diaspora_per_capita
Zimbabwe,ZWE,130,86.76855249133574,43.23144750866426,16634373,1519324,0.09133641526494568
São Tomé and Príncipe,STP,196,151.1069120690325,44.89308793096751,235536,41433,0.17590941512125535
Sudan,SDN,117,70.10752296861025,46.892477031389745,50448963,3786603,0.07505809386012553
Moldova,MDA,159,111.55278430735807,47.44721569264193,2402306,864257,0.35976141257608313
Burundi,BDI,142,92.75493403931586,49.245065960684144,14047786,576530,0.04104063088660377
Bahamas,BHS,207,157.17600869045847,49.823991309541526,401283,2174,0.0054176229743099
Brunei Darussalam,BRN,193,142.79208925379055,50.20791074620945,462721,46552,0.1006049001450118
Mauritius,MUS,178,127.5738100068853,50.426189993114704,1245779,114314,0.09176105874316393
Bhutan,BTN,186,135.1069139858638,50.8930860141362,791524,66145,0.0835666385352813
Puerto Rico,PRI,156,104.83838617038849,51.16161382961151,3203295,1948223,0.6081934383189809
Dominican Republic,DOM,143,90.1560140655415,52.8439859344585,11427557,1917153,0.16776577880994162
Djibouti,DJI,197,142.71119684429067,54.28880315570933,1168722,3576,0.00305975244754526
"Hong Kong, China",HKG,155,96.81220352525196,58.18779647474804,7524100,1240250,0.16483699047062106
Papua New Guinea,PNG,168,107.68234123271111,60.31765876728889,10576502,35050,0.00331395011318486
Macau,MAC,194,133.3678984703764,60.63210152962361,687000,149247,0.21724454148471617
Malaysia,MYS,138,76.00068936286911,61.99931063713089,35557673,2433875,0.06844865804351145
China PR,CHN,94,26.8064016346518,67.19359836534821,1408975000,11701619,0.00830505793218474
Indonesia,IDN,122,50.13504094278417,71.86495905721583,283487931,3745148,0.01321096099854776
Mongolia,MNG,187,113.72899122193166,73.27100877806834,3524788,175596,0.04981746419926532
Cuba,CUB,164,90.70172883423952,73.29827116576048,10979783,1879613,0.17118853806127135
Timor-Leste,TLS,200,126.38956182713424,73.61043817286576,1400638,109613,0.07825933610254755
Yemen,YEM,149,74.38840181321429,74.61159818678571,40583164,2480734,0.06112717086326734
Philippines,PHL,135,57.921171931403926,77.07882806859607,115843670,6988383,0.06032598069449975
